Gene	Expr	Cluster
SOX2	1.02707794608452	C1
SOX2	0.785117193443134	C1
SOX2	1.02841862029076	C1
SOX2	0.953961834650147	C1
SOX2	1.00997677303074	C1
SOX2	0.922340997794972	C1
SOX2	1.05194536431694	C1
SOX2	0.720323606951254	C1
SOX2	0.966931023626016	C1
SOX2	1.03953269540504	C1
SOX2	5.96944456295082	C2
SOX2	5.45820849096193	C2
SOX2	6.85438394290264	C2
SOX2	4.71645011887227	C2
SOX2	4.27981558560217	C2
SOX2	5.51469426151712	C2
SOX2	5.05023389327231	C2
SOX2	6.01710644726258	C2
SOX2	4.00402790561311	C2
SOX2	4.87729309073612	C2
SOX2	10.6470739520531	C3
SOX2	11.2614497165443	C3
SOX2	10.0397249964146	C3
SOX2	9.76242183896131	C3
SOX2	10.3785255490003	C3
SOX2	10.4403332380848	C3
SOX2	12.2618688907837	C3
SOX2	10.7106006064066	C3
SOX2	11.3590947767057	C3
SOX2	9.8277857834144	C3
SOX2	11.9562968118458	C3
SOX2	11.9499314038503	C3
SOX2	11.0715867695784	C3
SOX2	10.3167997050638	C3
SOX2	11.2601575180695	C3
SOX2	9.68948603140492	C3
SOX2	11.0728158459625	C3
SOX2	9.64030228359465	C3
SOX2	8.98872611600347	C3
SOX2	10.5899371360729	C3
SOX2	20.6226795884492	C4
SOX2	17.9813693044451	C4
SOX2	20.873719257809	C4
SOX2	17.9780727307659	C4
SOX2	19.7949232468988	C4
SOX2	20.548165902437	C4
SOX2	20.1913529458227	C4
SOX2	19.2105973733245	C4
SOX2	21.1267456585433	C4
SOX2	20.2066883636945	C4
SOX2	19.5524595767284	C4
SOX2	18.4073239875134	C4
SOX2	20.0278903119887	C4
SOX2	22.0088482200436	C4
SOX2	19.6598064372589	C4
SOX2	19.8542958765957	C4
SOX2	19.9824900024648	C4
SOX2	19.0907423700317	C4
SOX2	19.598372110346	C4
SOX2	19.3193651100358	C4
SOX2	1.7822943583814	C5
SOX2	2.12215009883578	C5
SOX2	1.40234612734014	C5
SOX2	2.18068005278251	C5
SOX2	1.8797566764083	C5
SOX2	2.09402361837383	C5
SOX2	1.80520757897732	C5
SOX2	1.88625778085229	C5
SOX2	2.1046073754652	C5
SOX2	1.90336699427093	C5
SOX2	2.32369515265773	C5
SOX2	2.15229233522411	C5
SOX2	1.9053494833422	C5
SOX2	1.96253827683517	C5
SOX2	1.55888993411864	C5
SOX2	2.16566715810843	C5
SOX2	2.33752468724349	C5
SOX2	1.88249690627019	C5
SOX2	2.0692057110411	C5
SOX2	1.93380379518965	C5
SOX3	20.5477026579395	C1
SOX3	20.9010915871313	C1
SOX3	20.2120916935307	C1
SOX3	18.496910772889	C1
SOX3	19.1236257001438	C1
SOX3	20.892486439204	C1
SOX3	20.9243143258994	C1
SOX3	20.2273184084348	C1
SOX3	22.7559533610481	C1
SOX3	19.4607142720563	C1
SOX3	0.983331912446366	C2
SOX3	0.997266430568566	C2
SOX3	0.998833467456433	C2
SOX3	0.987093875756003	C2
SOX3	0.987488175225666	C2
SOX3	0.990693078431527	C2
SOX3	0.99637699450975	C2
SOX3	1.00030882551231	C2
SOX3	1.00114195562342	C2
SOX3	0.993962148922481	C2
SOX3	1.70254423372028	C3
SOX3	1.66656709928781	C3
SOX3	3.22643180259414	C3
SOX3	1.69749331956186	C3
SOX3	0.9178758080606	C3
SOX3	1.82168239764653	C3
SOX3	1.98621561160359	C3
SOX3	4.14566804564886	C3
SOX3	2.13297815827439	C3
SOX3	1.532215856545	C3
SOX3	2.37990756506472	C3
SOX3	1.59058459290847	C3
SOX3	0.692332998596359	C3
SOX3	3.48907620372853	C3
SOX3	1.17994284780737	C3
SOX3	2.11322529997101	C3
SOX3	3.0299214796267	C3
SOX3	0.919840707550579	C3
SOX3	1.49295124354704	C3
SOX3	2.95726476694054	C3
SOX3	3.59401796099472	C4
SOX3	2.41501354078631	C4
SOX3	3.02179017280073	C4
SOX3	1.33828143088257	C4
SOX3	2.14405042974704	C4
SOX3	2.81557995685462	C4
SOX3	3.04562176478858	C4
SOX3	3.79472104006381	C4
SOX3	4.4376310173743	C4
SOX3	2.40567236901472	C4
