ID	diff	lwr	upr	p.adj
A.A4cell-Azygote	3.75	0.0628729409633282	7.43712705903667	0.0459748754406435
A.A2cell-Azygote	11.25	7.56287294096333	14.9371270590367	2.74940150901681e-06
A.A2cell-A4cell	7.5	3.81287294096333	11.1871270590367	0.000255439624342158
B.B4cell-Bzygote	3.68	-0.350077788461574	7.71007778846158	0.0757087599140794
B.B2cell-Bzygote	11.18	7.14992221153843	15.2100777884616	1.16940476178051e-05
B.B2cell-B4cell	7.5	3.65747159695228	11.3425284030477	0.000438053358797097
C.C4cell-Czygote	3.68	-0.350077788461574	7.71007778846158	0.0757087599140794
C.C2cell-Czygote	11.18	7.14992221153843	15.2100777884616	1.16940476178051e-05
C.C2cell-C4cell	7.5	3.65747159695228	11.3425284030477	0.000438053358797097
D.D4cell-Dzygote	3.68	-0.350077788461574	7.71007778846158	0.0757087599140794
D.D2cell-Dzygote	11.18	7.14992221153843	15.2100777884616	1.16940476178051e-05
D.D2cell-D4cell	7.5	3.65747159695228	11.3425284030477	0.000438053358797097
