ID	log2FoldChange	padj	level	Symbol
YSX1	-0.626453810742332	0.308615755456297	NoDiff	NA
YSX2	0.183643324222082	0.903905297868892	NoDiff	NA
YSX3	-0.835628612410047	0.123459083414706	NoDiff	NA
YSX4	1.59528080213779	0.000488631717078708	groupA UP	Gata2
YSX5	0.329507771815361	0.722337538075967	NoDiff	NA
YSX6	-0.820468384118015	0.133102974022531	NoDiff	NA
YSX7	0.487429052428485	0.490785904112726	NoDiff	NA
YSX8	0.738324705129217	0.195334135155684	NoDiff	NA
YSX9	0.575781351653492	0.370405235981935	NoDiff	NA
YSX10	-0.305388387156356	0.756246283491858	NoDiff	NA
YSX11	1.51178116845085	0.00106296501621835	groupA UP	NA
YSX12	0.389843236411431	0.6342673996405	NoDiff	NA
YSX13	-0.621240580541804	0.31468835125474	NoDiff	NA
YSX14	-2.2146998871775	0.000000415512134640419	groupB UP	Pou5f1
YSX15	1.12493091814311	0.0225728361962531	groupA UP	NA
YSX16	-0.0449336090152309	0.993969784183823	NoDiff	NA
YSX17	-0.0161902630989461	0.999215053050695	NoDiff	NA
YSX18	0.943836210685299	0.0693437975773534	NoDiff	NA
YSX19	0.821221195098089	0.132611088509267	NoDiff	NA
YSX20	0.593901321217509	0.347618025203401	NoDiff	NA
YSX21	0.918977371608218	0.0796626806409848	NoDiff	NA
YSX22	0.782136300731067	0.159996897946985	NoDiff	NA
YSX23	0.0745649833651906	0.983481863649622	NoDiff	NA
YSX24	-1.98935169586337	0.00000709818886415143	groupB UP	NA
YSX25	0.61982574789471	0.316348039321344	NoDiff	NA
YSX26	-0.0561287395290008	0.990606535823177	NoDiff	NA
YSX27	-0.155795506705329	0.929867540593207	NoDiff	NA
YSX28	-1.47075238389927	0.0015336478716687	groupB UP	NA
YSX29	-0.47815005510862	0.504137260322721	NoDiff	NA
YSX30	0.417941560199702	0.59257372846947	NoDiff	NA
YSX31	1.35867955152904	0.00396538588817776	groupA UP	NA
YSX32	-0.102787727342996	0.968844784734058	NoDiff	NA
YSX33	0.387671611559369	0.637483782365954	NoDiff	NA
YSX34	-0.0538050405829051	0.991364906262912	NoDiff	NA
YSX35	-1.37705955682861	0.00341087572681255	groupB UP	NA
YSX36	-0.41499456329968	0.596947282937639	NoDiff	NA
YSX37	-0.394289953710349	0.627676594202946	NoDiff	NA
YSX38	-0.0593133967111857	0.989516120125454	NoDiff	NA
YSX39	1.10002537198388	0.0266490101991486	groupA UP	NA
YSX40	0.763175748457544	0.174675382221162	NoDiff	NA
YSX41	-0.164523596253587	0.922112060356089	NoDiff	NA
